ListingID,AmenityID
4291,AM_023
5682,AM_023
6606,AM_023
9419,AM_023
9460,AM_023
9531,AM_023
9534,AM_023
9596,AM_023
10385,AM_023
10695,AM_023
11012,AM_023
11411,AM_023
13068,AM_023
14386,AM_023
15108,AM_023
17951,AM_023
19611,AM_023
19619,AM_023
19623,AM_023
20927,AM_023
20928,AM_023
23430,AM_023
23919,AM_023
24212,AM_023
25002,AM_023
26116,AM_023
37234,AM_023
38545,AM_023
41401,AM_023
46022,AM_023
48319,AM_023
48848,AM_023
51826,AM_023
53803,AM_023
53867,AM_023
58503,AM_023
59708,AM_023
59827,AM_023
59838,AM_023
63733,AM_023
67270,AM_023
68508,AM_023
80188,AM_023
82763,AM_023
84030,AM_023
92835,AM_023
107046,AM_023
108468,AM_023
116221,AM_023
117165,AM_023
117862,AM_023
132120,AM_023
132160,AM_023
134091,AM_023
143704,AM_023
146301,AM_023
149489,AM_023
153967,AM_023
157939,AM_023
158345,AM_023
158953,AM_023
170273,AM_023
170469,AM_023
174636,AM_023
175576,AM_023
176678,AM_023
182716,AM_023
186328,AM_023
190984,AM_023
193371,AM_023
193836,AM_023
194313,AM_023
202174,AM_023
202260,AM_023
206781,AM_023
208356,AM_023
208670,AM_023
210316,AM_023
215882,AM_023
215954,AM_023
217142,AM_023
218741,AM_023
219532,AM_023
224763,AM_023
226495,AM_023
226536,AM_023
226677,AM_023
227636,AM_023
234898,AM_023
240920,AM_023
241016,AM_023
241032,AM_023
244499,AM_023
251922,AM_023
257140,AM_023
258571,AM_023
260613,AM_023
261912,AM_023
262764,AM_023
264829,AM_023
265901,AM_023
271509,AM_023
277416,AM_023
278192,AM_023
278830,AM_023
279063,AM_023
281789,AM_023
282934,AM_023
284087,AM_023
284480,AM_023
284813,AM_023
286080,AM_023
286712,AM_023
301059,AM_023
314180,AM_023
315120,AM_023
317248,AM_023
319768,AM_023
338043,AM_023
338091,AM_023
340706,AM_023
341454,AM_023
353039,AM_023
353110,AM_023
353347,AM_023
356566,AM_023
356608,AM_023
365550,AM_023
366301,AM_023
368403,AM_023
370361,AM_023
380950,AM_023
384797,AM_023
385438,AM_023
387078,AM_023
387079,AM_023
387464,AM_023
392140,AM_023
392779,AM_023
394408,AM_023
397117,AM_023
408526,AM_023
413733,AM_023
421168,AM_023
429453,AM_023
430453,AM_023
430609,AM_023
430610,AM_023
443942,AM_023
445199,AM_023
446276,AM_023
447488,AM_023
449602,AM_023
451012,AM_023
458183,AM_023
458186,AM_023
458189,AM_023
458191,AM_023
458193,AM_023
458197,AM_023
461567,AM_023
479653,AM_023
481220,AM_023
486344,AM_023
486829,AM_023
488268,AM_023
490076,AM_023
491958,AM_023
493591,AM_023
496074,AM_023
506542,AM_023
522287,AM_023
523883,AM_023
529090,AM_023
544433,AM_023
555182,AM_023
555858,AM_023
557126,AM_023
565703,AM_023
566435,AM_023
571640,AM_023
571651,AM_023
573942,AM_023
580182,AM_023
580815,AM_023
585418,AM_023
598023,AM_023
606297,AM_023
609610,AM_023
610989,AM_023
611500,AM_023
611509,AM_023
613151,AM_023
631445,AM_023
637326,AM_023
637710,AM_023
639130,AM_023
649243,AM_023
654734,AM_023
660603,AM_023
666897,AM_023
668169,AM_023
670009,AM_023
677266,AM_023
682135,AM_023
685600,AM_023
689309,AM_023
692671,AM_023
693956,AM_023
696004,AM_023
699596,AM_023
704764,AM_023
708774,AM_023
714043,AM_023
719233,AM_023
723846,AM_023
741699,AM_023
746380,AM_023
752483,AM_023
755613,AM_023
757840,AM_023
769213,AM_023
777159,AM_023
785830,AM_023
789229,AM_023
790860,AM_023
793629,AM_023
794633,AM_023
796594,AM_023
797358,AM_023
803902,AM_023
808134,AM_023
808811,AM_023
815017,AM_023
823989,AM_023
825574,AM_023
826436,AM_023
828298,AM_023
830948,AM_023
835149,AM_023
838764,AM_023
841140,AM_023
843812,AM_023
844939,AM_023
859467,AM_023
872152,AM_023
873073,AM_023
877203,AM_023
879181,AM_023
882274,AM_023
888967,AM_023
890677,AM_023
902243,AM_023
902609,AM_023
909102,AM_023
911001,AM_023
922986,AM_023
931154,AM_023
931758,AM_023
931785,AM_023
934123,AM_023
934216,AM_023
935432,AM_023
935671,AM_023
935862,AM_023
936177,AM_023
936378,AM_023
936484,AM_023
937370,AM_023
938785,AM_023
941467,AM_023
945833,AM_023
948077,AM_023
953595,AM_023
955506,AM_023
973859,AM_023
975179,AM_023
977722,AM_023
988176,AM_023
991961,AM_023
1000883,AM_023
1002835,AM_023
1003890,AM_023
1009838,AM_023
1012003,AM_023
1022135,AM_023
1023693,AM_023
1027860,AM_023
1029680,AM_023
1030411,AM_023
1030615,AM_023
1039766,AM_023
1042022,AM_023
1043194,AM_023
1048798,AM_023
1049293,AM_023
1055661,AM_023
1060467,AM_023
1063855,AM_023
1069562,AM_023
1071843,AM_023
1084046,AM_023
1084084,AM_023
1090307,AM_023
1090449,AM_023
1095207,AM_023
1097520,AM_023
1097766,AM_023
1100686,AM_023
1100714,AM_023
1107845,AM_023
1110749,AM_023
1112092,AM_023
1114695,AM_023
1118153,AM_023
1122236,AM_023
1123977,AM_023
1136984,AM_023
1141226,AM_023
1145148,AM_023
1145941,AM_023
1146966,AM_023
1147349,AM_023
1148517,AM_023
1150519,AM_023
1157083,AM_023
1159111,AM_023
1159226,AM_023
1167507,AM_023
1171574,AM_023
1175308,AM_023
1179538,AM_023
1190224,AM_023
1190571,AM_023
1198799,AM_023
1198884,AM_023
1200083,AM_023
1200829,AM_023
1204142,AM_023
1205666,AM_023
1209255,AM_023
1209447,AM_023
1214306,AM_023
1214316,AM_023
1220816,AM_023
1223644,AM_023
1225820,AM_023
1246117,AM_023
1246769,AM_023
1246809,AM_023
1249060,AM_023
1251763,AM_023
1251813,AM_023
1252147,AM_023
1252740,AM_023
1256883,AM_023
1263470,AM_023
1264287,AM_023
1273432,AM_023
1277033,AM_023
1279660,AM_023
1289082,AM_023
1301535,AM_023
1305009,AM_023
1307898,AM_023
1317919,AM_023
1321090,AM_023
1323446,AM_023
1323634,AM_023
1328159,AM_023
1340668,AM_023
1343805,AM_023
1348777,AM_023
1349175,AM_023
1351716,AM_023
1355094,AM_023
1356339,AM_023
1364440,AM_023
1377812,AM_023
1392332,AM_023
1404307,AM_023
1407502,AM_023
1416279,AM_023
1416763,AM_023
1417880,AM_023
1428687,AM_023
1432713,AM_023
1433440,AM_023
1439237,AM_023
1442973,AM_023
1450262,AM_023
1455269,AM_023
1455908,AM_023
1457330,AM_023
1461971,AM_023
1472532,AM_023
1476298,AM_023
1483944,AM_023
1484651,AM_023
1488166,AM_023
1493197,AM_023
1494986,AM_023
1511620,AM_023
1513847,AM_023
1520449,AM_023
1520501,AM_023
1520533,AM_023
1520549,AM_023
1520581,AM_023
1520593,AM_023
1525972,AM_023
1531458,AM_023
1537246,AM_023
1538865,AM_023
1539463,AM_023
1539476,AM_023
1545801,AM_023
1547337,AM_023
1549973,AM_023
1557314,AM_023
1561256,AM_023
1566487,AM_023
1571230,AM_023
1579615,AM_023
1589461,AM_023
1589681,AM_023
1594328,AM_023
1599856,AM_023
1601714,AM_023
1602488,AM_023
1606171,AM_023
1609922,AM_023
1614502,AM_023
1618842,AM_023
1622794,AM_023
1623894,AM_023
1633986,AM_023
1651324,AM_023
1652107,AM_023
1672979,AM_023
1684236,AM_023
1686930,AM_023
1692318,AM_023
1696015,AM_023
1696194,AM_023
1702092,AM_023
1707064,AM_023
1709737,AM_023
1715582,AM_023
1724849,AM_023
1732280,AM_023
1732441,AM_023
1733747,AM_023
1737244,AM_023
1738425,AM_023
1742425,AM_023
1747184,AM_023
1750010,AM_023
1750681,AM_023
1758935,AM_023
1768883,AM_023
1775016,AM_023
1778989,AM_023
1781723,AM_023
1781873,AM_023
1783382,AM_023
1786923,AM_023
1789341,AM_023
1790020,AM_023
1796217,AM_023
1796302,AM_023
1796861,AM_023
1797207,AM_023
1802663,AM_023
1806899,AM_023
1815304,AM_023
1815677,AM_023
1818754,AM_023
1818768,AM_023
1827586,AM_023
1828232,AM_023
1831338,AM_023
1833250,AM_023
1844791,AM_023
1856851,AM_023
1856970,AM_023
1857141,AM_023
1880734,AM_023
1882316,AM_023
1885801,AM_023
1897000,AM_023
1898511,AM_023
1900698,AM_023
1901706,AM_023
1905473,AM_023
1914051,AM_023
1920477,AM_023
1925661,AM_023
1928010,AM_023
1950012,AM_023
1950446,AM_023
1954452,AM_023
1956094,AM_023
1956274,AM_023
1956553,AM_023
1961671,AM_023
1974131,AM_023
1976382,AM_023
1980283,AM_023
1980395,AM_023
1983713,AM_023
1984692,AM_023
2004931,AM_023
2016613,AM_023
2020505,AM_023
2026794,AM_023
2027236,AM_023
2033191,AM_023
2037250,AM_023
2039149,AM_023
2051658,AM_023
2056276,AM_023
2060441,AM_023
2061463,AM_023
2071305,AM_023
2075094,AM_023
2110357,AM_023
2112625,AM_023
2130652,AM_023
2149219,AM_023
2154617,AM_023
2158992,AM_023
2186330,AM_023
2187563,AM_023
2191169,AM_023
2191633,AM_023
2197168,AM_023
2197982,AM_023
2208757,AM_023
2211594,AM_023
2215336,AM_023
2217257,AM_023
2238105,AM_023
2249292,AM_023
2256124,AM_023
2260626,AM_023
2267088,AM_023
2268329,AM_023
2274086,AM_023
2277640,AM_023
2284536,AM_023
2297917,AM_023
2309250,AM_023
2332949,AM_023
2339333,AM_023
2350464,AM_023
2357110,AM_023
2367298,AM_023
2373176,AM_023
2385623,AM_023
2386589,AM_023
2387265,AM_023
2387605,AM_023
2391699,AM_023
2392869,AM_023
2396734,AM_023
2399736,AM_023
2406966,AM_023
2412633,AM_023
2413338,AM_023
2419879,AM_023
2420536,AM_023
2426152,AM_023
2441908,AM_023
2459519,AM_023
2467550,AM_023
2471659,AM_023
2471731,AM_023
2472850,AM_023
2481189,AM_023
2481869,AM_023
2484067,AM_023
2487892,AM_023
2488228,AM_023
2489283,AM_023
2489339,AM_023
2493658,AM_023
2494157,AM_023
2508065,AM_023
2515795,AM_023
2516391,AM_023
2520890,AM_023
2525172,AM_023
2526405,AM_023
2532879,AM_023
2536507,AM_023
2539881,AM_023
2556794,AM_023
2557712,AM_023
2577625,AM_023
2584354,AM_023
2586350,AM_023
2586642,AM_023
2612025,AM_023
2614387,AM_023
2620429,AM_023
2621746,AM_023
2628010,AM_023
2630912,AM_023
2638086,AM_023
2642359,AM_023
2650482,AM_023
2652941,AM_023
2660384,AM_023
2670365,AM_023
2686374,AM_023
2686624,AM_023
2687172,AM_023
2688555,AM_023
2691273,AM_023
2692126,AM_023
2710274,AM_023
2715623,AM_023
2720963,AM_023
2727808,AM_023
2727938,AM_023
2736961,AM_023
2737012,AM_023
2737038,AM_023
2746782,AM_023
2749725,AM_023
2755730,AM_023
2760901,AM_023
2761092,AM_023
2762241,AM_023
2763078,AM_023
2764126,AM_023
2769088,AM_023
2776890,AM_023
2778101,AM_023
2802844,AM_023
2804399,AM_023
2808357,AM_023
